MsgID.STATE,1523729405.0370126,False,False
MsgID.LOCAL_VELOCITY,1523729413.0656815,6.3775196,6.1882653,0.0334652
MsgID.GLOBAL_POSITION,1523729413.3106785,-122.3972064,37.7926762,4.9700000
MsgID.LOCAL_VELOCITY,1523729413.3106785,6.3800000,6.1800000,0.0200000
MsgID.LOCAL_POSITION,1523729413.3111796,21.7549191,21.9457817,-4.9705434
MsgID.LOCAL_VELOCITY,1523729413.3111796,6.3858109,6.1851687,0.0215637
MsgID.GLOBAL_POSITION,1523729413.5611801,-122.3971883,37.7926900,4.9690000
MsgID.LOCAL_VELOCITY,1523729413.5611801,6.3600000,6.2100000,-0.0400000
MsgID.LOCAL_POSITION,1523729413.5621896,23.2878532,23.5522041,-4.9698830
MsgID.LOCAL_VELOCITY,1523729413.5621896,6.3679657,6.2134705,-0.0489317
MsgID.GLOBAL_POSITION,1523729413.8111775,-122.3971707,37.7927036,4.9810000
MsgID.LOCAL_VELOCITY,1523729413.8111775,6.3600000,6.2100000,-0.0700000
MsgID.LOCAL_POSITION,1523729413.8116775,24.7945614,25.1134357,-4.9811616
MsgID.LOCAL_VELOCITY,1523729413.8116775,6.3603249,6.2106137,-0.0782461
MsgID.STATE,1523729414.0291820,True,True
MsgID.GLOBAL_HOME,1523729414.0326803,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1523729414.0621784,-122.3971555,37.7927189,4.9860000
MsgID.LOCAL_VELOCITY,1523729414.0621784,6.3500000,6.1600000,0.0900000
MsgID.LOCAL_POSITION,1523729414.0641804,26.5019150,26.4636688,-4.9866958
MsgID.LOCAL_VELOCITY,1523729414.0641804,6.3512492,6.1697831,0.0958679
MsgID.GLOBAL_POSITION,1523729414.3116798,-122.3971363,37.7927327,4.9700000
MsgID.LOCAL_VELOCITY,1523729414.3116798,6.3200000,6.2300000,0.0200000
MsgID.LOCAL_POSITION,1523729414.3132200,28.0351772,28.1755772,-4.9705529
MsgID.LOCAL_VELOCITY,1523729414.3132200,6.3262696,6.2342710,0.0282044
MsgID.GLOBAL_POSITION,1523729414.5646799,-122.3971176,37.7927476,4.9750000
MsgID.LOCAL_VELOCITY,1523729414.5646799,6.3400000,6.2200000,-0.0300000
MsgID.LOCAL_POSITION,1523729414.5656791,29.6869411,29.8346996,-4.9750199
MsgID.LOCAL_VELOCITY,1523729414.5656791,6.3421206,6.2262182,-0.0393879
MsgID.GLOBAL_POSITION,1523729414.8176906,-122.3971031,37.7927618,4.9700000
MsgID.LOCAL_VELOCITY,1523729414.8176906,6.1100000,5.8400000,-0.0300000
MsgID.LOCAL_POSITION,1523729414.8186793,31.2592163,31.1221886,-4.9705563
MsgID.LOCAL_VELOCITY,1523729414.8186793,6.1177769,5.8418179,-0.0394782
